year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse
2017,AR,3246,0,510,0,125,9,2455,0,147
2018,AR,3623,0,605,0,146,8,2675,0,189
2019,AR,3712,0,553,0,154,3,2849,0,153
2020,AR,4256,0,624,0,147,1,3316,0,168
2004,AZ,26,0,3,0,1,2,18,0,2
2005,AZ,52,0,14,0,3,2,30,0,3
2006,AZ,61,0,11,0,2,5,35,0,8
2007,AZ,73,0,20,0,1,11,33,0,8
2008,AZ,47,0,13,0,0,6,23,0,5
2009,AZ,109,0,32,0,1,12,47,0,17
2010,AZ,93,0,25,0,3,15,37,0,13
2011,AZ,88,0,21,0,4,9,48,0,6
2012,AZ,144,0,33,0,6,16,81,0,8
2013,AZ,281,0,60,0,6,24,175,0,16
2014,AZ,252,0,63,0,5,8,167,0,9
2015,AZ,246,0,54,0,6,18,147,0,21
2016,AZ,217,0,65,0,6,15,117,0,14
2017,AZ,276,0,65,0,7,17,167,0,20
2018,AZ,283,0,82,0,11,22,139,0,29
2019,AZ,339,0,95,0,15,18,191,0,20
2020,AZ,1373,0,357,0,33,29,850,0,104
1992,CO,65,0,4,0,1,0,57,0,3
1993,CO,41,0,4,0,1,0,33,0,3
1994,CO,18,0,1,0,0,0,14,0,3
1997,CO,1003,0,78,0,66,25,723,0,111
1998,CO,1214,0,86,0,77,36,872,0,143
1999,CO,1059,0,69,0,48,26,776,0,140
2000,CO,1207,0,105,0,49,22,885,0,146
2001,CO,1227,0,84,0,56,28,925,0,134
2002,CO,1370,0,110,0,77,29,993,0,161
2003,CO,1379,0,108,0,110,24,981,0,156
2004,CO,1709,0,145,0,123,26,1252,0,163
2005,CO,2598,0,205,0,150,61,1955,0,227
2006,CO,2826,0,252,0,153,77,2072,0,272
2007,CO,2760,0,272,0,147,65,1986,0,290
2008,CO,2836,0,369,0,156,75,1969,0,267
2009,CO,3008,0,380,0,221,73,2054,0,280
2010,CO,2979,0,346,0,208,75,2024,0,326
2011,CO,2700,0,317,0,193,63,1817,0,310
2012,CO,3070,0,360,0,266,53,2027,0,364
2013,CO,3047,0,405,0,276,52,1957,0,357
2014,CO,3104,0,393,0,251,59,1999,0,402
2015,CO,2971,0,297,0,268,26,1916,0,464
2016,CO,3584,0,437,0,304,33,2329,0,481
2017,CO,3991,0,433,0,303,31,2657,0,567
2018,CO,4575,0,447,0,348,37,3174,0,569
2019,CO,4548,0,473,0,307,47,3173,0,548
2020,CO,5307,0,584,0,284,22,3810,0,607
1998,CT,25,0,2,0,3,2,14,0,4
1999,CT,172,0,10,0,2,8,134,0,18
2000,CT,468,0,55,0,10,9,366,0,28
2001,CT,653,0,104,0,19,20,475,0,35
2002,CT,562,0,86,0,22,17,402,0,35
2003,CT,497,0,56,0,25,23,361,0,32
2004,CT,594,0,90,0,40,37,380,0,47
2005,CT,540,0,72,0,31,43,335,0,59
2006,CT,496,0,48,0,39,48,310,0,51
2007,CT,816,0,95,0,44,28,584,0,65
2008,CT,1093,0,177,0,41,25,782,0,68
2009,CT,1030,0,180,0,38,24,731,0,57
2010,CT,984,0,197,0,33,23,683,0,48
2011,CT,1103,0,179,0,37,31,802,0,54
2012,CT,1023,0,176,0,52,30,719,0,46
2013,CT,994,0,147,0,49,24,709,0,65
2014,CT,867,0,139,0,46,23,608,0,51
2015,CT,876,0,106,0,40,28,642,0,60
2016,CT,1054,0,145,0,41,15,794,0,59
2017,CT,948,0,108,0,28,22,735,0,55
2018,CT,1126,0,118,0,45,26,848,0,89
2019,CT,1028,0,123,0,42,19,755,0,89
2020,CT,991,0,122,0,33,14,750,0,72
2000,DC,1,0,0,0,0,0,1,0,0
2001,DC,4,0,0,0,0,0,4,0,0
2002,DC,3,0,1,0,0,0,2,0,0
2003,DC,1,0,0,0,0,0,1,0,0
2004,DC,4,0,0,0,0,0,4,0,0
2005,DC,7,0,1,0,0,0,6,0,0
2006,DC,2,0,0,0,0,0,2,0,0
2007,DC,2,0,0,0,0,0,2,0,0
2009,DC,4,0,0,0,0,0,4,0,0
2010,DC,6,0,0,0,0,0,6,0,0
2011,DC,2,0,0,0,0,0,2,0,0
2012,DC,5,0,0,0,0,0,5,0,0
2013,DC,1,0,1,0,0,0,0,0,0
2014,DC,6,0,3,0,0,0,3,0,0
2015,DC,2,0,0,0,0,0,2,0,0
2016,DC,7,0,0,0,0,0,7,0,0
2018,DC,5,0,0,0,0,0,5,0,0
2019,DC,4,0,0,0,0,0,4,0,0
2020,DC,10,0,0,0,0,0,10,0,0
2001,DE,1067,0,225,0,28,13,722,0,79
2002,DE,1067,0,188,0,39,13,754,0,73
2003,DE,1132,0,260,0,35,32,746,0,59
2004,DE,1048,0,257,0,37,19,670,0,65
2005,DE,1147,0,278,0,44,14,756,0,55
2006,DE,1010,0,201,0,46,17,688,0,58
2007,DE,1194,0,296,0,41,13,809,0,35
2008,DE,1127,0,267,0,47,21,752,0,40
2009,DE,1052,0,208,0,48,12,739,0,45
2010,DE,971,0,199,0,36,13,679,0,44
2011,DE,984,0,243,0,44,11,640,0,46
2012,DE,919,0,209,0,56,12,589,0,53
2013,DE,792,0,176,0,49,10,523,0,34
2014,DE,733,0,160,0,42,8,486,0,37
2015,DE,790,0,185,0,32,6,526,0,41
2016,DE,759,0,224,0,23,5,484,0,23
2017,DE,712,0,185,0,27,8,460,0,32
2018,DE,692,0,184,0,34,4,431,0,39
2019,DE,773,0,190,0,19,10,511,0,43
2020,DE,771,0,159,0,34,5,532,0,41
2018,GA,9,0,1,0,1,0,5,0,2
2019,GA,1357,0,274,0,55,30,925,0,73
2020,GA,5706,0,1073,0,157,111,4103,0,262
2018,HI,350,0,28,0,15,9,228,0,70
2019,HI,276,0,14,0,12,4,206,0,40
2020,HI,324,0,28,0,14,1,236,0,45
1992,IA,1120,0,110,0,35,4,942,0,29
1993,IA,1602,0,146,0,57,14,1346,0,39
1994,IA,1661,0,155,0,44,9,1395,0,58
1995,IA,1964,0,174,0,49,18,1678,0,45
1996,IA,1537,0,147,0,33,22,1280,0,55
1997,IA,1907,0,211,0,62,25,1552,0,57
1998,IA,1789,0,189,0,25,24,1490,0,61
1999,IA,1929,0,171,0,63,24,1605,0,66
2000,IA,1994,0,239,0,73,30,1596,0,56
2001,IA,1911,0,158,0,68,34,1587,0,64
2002,IA,1941,0,154,0,80,37,1604,0,66
2003,IA,1965,0,197,0,60,41,1597,0,70
2004,IA,2035,0,167,0,76,33,1670,0,89
2005,IA,2132,0,185,0,82,46,1736,0,83
2006,IA,1941,0,124,0,95,33,1593,0,96
2007,IA,2017,0,150,0,65,46,1654,0,102
2008,IA,2060,0,160,0,99,49,1666,0,86
2009,IA,2122,0,152,0,125,45,1706,0,94
2010,IA,2057,0,159,0,81,45,1673,0,99
2011,IA,2142,0,181,0,95,39,1733,0,94
2012,IA,2225,0,161,0,110,32,1839,0,83
2013,IA,2497,0,152,0,109,34,2110,0,92
2014,IA,2576,0,211,0,123,30,2114,0,98
2015,IA,2574,0,210,0,86,21,2129,0,128
2016,IA,2672,0,246,0,118,20,2156,0,132
2017,IA,2693,0,227,0,112,22,2222,0,110
2018,IA,1972,0,153,0,64,7,1655,0,93
2019,IA,2504,0,201,0,92,16,2053,0,142
2020,IA,2842,0,276,0,92,7,2310,0,157
1992,ID,371,0,37,0,19,28,262,0,25
1993,ID,718,0,70,0,42,53,499,0,54
1994,ID,706,0,79,0,29,61,485,0,52
1995,ID,805,0,115,0,24,48,561,0,57
1996,ID,682,0,89,0,20,75,450,0,48
1997,ID,717,0,88,0,32,62,477,0,58
1998,ID,776,0,125,0,20,85,485,0,61
1999,ID,830,0,120,0,33,89,525,0,63
2000,ID,778,0,118,0,27,80,477,0,76
2001,ID,797,0,99,0,28,82,505,0,83
2002,ID,838,0,120,0,35,91,511,0,81
2003,ID,911,0,186,0,35,84,510,0,96
2004,ID,913,0,168,0,54,91,504,0,96
2005,ID,1112,0,142,0,43,94,729,0,104
2006,ID,1058,0,94,0,45,117,690,0,112
2007,ID,1149,0,121,0,36,126,745,0,121
2008,ID,1206,0,203,0,38,111,746,0,108
2009,ID,1340,0,237,0,61,116,811,0,115
2010,ID,1172,0,146,0,31,95,792,0,108
2011,ID,1037,0,110,0,34,39,753,0,101
2012,ID,1076,0,121,0,29,68,770,0,88
2013,ID,1155,0,134,0,35,42,844,0,100
2014,ID,1102,0,119,0,31,35,794,0,123
2015,ID,1182,0,136,0,42,45,845,0,114
2016,ID,1224,0,158,0,47,49,851,0,119
2017,ID,1223,0,179,0,29,27,882,0,106
2018,ID,1331,0,173,0,62,41,897,0,158
2019,ID,1412,0,154,0,44,28,1035,0,151
2020,ID,1486,0,204,0,44,17,1070,0,151
1993,IL,2079,0,170,0,124,4,1633,0,148
1994,IL,1456,0,146,0,112,2,1100,0,96
2006,IL,162,0,14,0,11,0,124,0,13
2007,IL,199,0,24,0,19,0,144,0,12
2008,IL,184,0,23,0,11,0,127,0,23
2009,IL,238,0,34,0,18,0,166,0,20
2010,IL,351,0,46,0,14,0,268,0,23
2011,IL,364,0,52,0,8,0,290,0,14
2012,IL,369,0,48,0,18,0,277,0,26
2013,IL,330,0,36,0,16,0,257,0,21
2014,IL,343,0,32,0,8,0,291,0,12
2015,IL,370,0,36,0,14,0,293,0,27
2016,IL,407,0,38,0,14,0,337,0,18
2017,IL,405,0,39,0,12,0,334,0,20
2018,IL,465,0,42,0,10,0,395,0,18
2019,IL,447,0,41,0,10,4,374,0,18
2020,IL,486,0,42,0,5,0,426,0,13
2014,IN,175,0,29,0,5,0,126,0,15
2015,IN,224,0,15,0,6,0,184,0,19
2016,IN,201,0,22,0,11,0,152,0,16
2017,IN,404,0,83,0,11,0,284,0,26
2018,IN,672,0,138,0,6,3,485,0,40
2019,IN,1883,0,260,0,36,10,1488,0,89
2020,IN,4222,0,471,0,116,26,3360,0,249
2000,KS,1103,0,312,0,37,14,656,0,84
2001,KS,1139,0,298,0,38,26,680,0,97
2002,KS,1293,0,309,0,46,24,790,0,124
2003,KS,1372,0,270,0,40,25,879,0,158
2004,KS,1550,0,328,0,56,40,961,0,165
2005,KS,1777,0,501,0,53,67,1005,0,151
2006,KS,2167,0,711,0,63,71,1134,0,188
2007,KS,2344,0,759,0,54,73,1201,0,257
2008,KS,2108,0,606,0,64,96,1179,0,163
2009,KS,2102,0,634,0,49,78,1168,0,173
2010,KS,2200,0,648,0,65,113,1191,0,183
2011,KS,2110,0,661,0,61,71,1134,0,183
2012,KS,2101,0,653,0,68,73,1125,0,182
2013,KS,1948,0,606,0,58,57,1064,0,163
2014,KS,2006,0,745,0,54,55,1003,0,149
2015,KS,1924,0,583,0,76,45,1046,0,174
2016,KS,2019,0,617,0,54,27,1137,0,184
2017,KS,2020,0,602,0,48,34,1199,0,137
2018,KS,2583,0,691,0,69,39,1572,0,212
2019,KS,2623,0,688,0,50,35,1654,0,196
2020,KS,2628,0,615,0,75,25,1743,0,170
1998,KY,65,0,6,0,1,0,58,0,0
1999,KY,92,0,8,0,1,1,81,0,1
2000,KY,200,0,29,0,0,0,166,0,5
2001,KY,215,0,30,0,7,0,167,0,11
2002,KY,164,0,30,0,2,1,126,0,5
2003,KY,150,0,28,0,13,2,100,0,7
2004,KY,171,0,45,0,12,2,102,0,10
2005,KY,128,0,45,0,15,4,51,0,13
2006,KY,97,0,25,0,13,0,44,0,15
2007,KY,60,0,17,0,7,1,27,0,8
2008,KY,60,0,5,0,4,0,36,0,15
2009,KY,871,0,198,0,201,15,304,0,153
2010,KY,848,0,197,0,182,14,282,0,173
2011,KY,974,0,179,0,234,12,356,0,193
2012,KY,1061,0,254,0,174,13,414,0,206
2013,KY,1070,0,266,0,173,32,421,0,178
2014,KY,1249,0,271,0,186,27,608,0,157
2015,KY,1916,0,385,0,205,32,1097,0,197
2016,KY,1964,0,374,0,186,24,1147,0,233
2017,KY,1961,0,323,0,277,23,1110,0,228
2018,KY,1957,0,471,0,191,18,1037,0,240
2019,KY,2146,0,375,0,162,27,1319,0,263
2020,KY,2555,0,417,0,126,28,1745,0,239
2003,LA,160,0,14,0,4,7,127,0,8
2004,LA,1069,0,51,0,14,16,976,0,12
2005,LA,1349,0,55,0,10,19,1253,0,12
2006,LA,1255,0,69,0,6,33,1128,0,19
2007,LA,1362,0,102,0,15,24,1208,0,13
2008,LA,1367,0,111,0,14,32,1196,0,14
2009,LA,631,0,68,0,6,36,502,0,19
