year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2005,VA,2741,0,309,0,133,60,1915,0,324,7586902,7518412,0.9909725998833252,0.00036457166752766406,5.8789010232479946e-05,0.00030578265729518415
2006,VA,2691,0,330,0,173,55,1842,0,291,7674172,7623071,0.993341170878109,0.0003530073378563574,6.598390596125892e-05,0.0002870234318950984
2007,VA,2580,0,341,0,141,47,1731,0,320,7756385,7711608,0.9942270787228844,0.0003345605741370671,6.250317702870789e-05,0.00027205739710835924
2008,VA,2522,0,283,0,168,43,1685,0,343,7792837,7769089,0.9969525860735955,0.0003246197848936986,5.8050564229602725e-05,0.00026656922066409586
2009,VA,2499,0,307,0,146,50,1716,0,280,7892821,7882590,0.9987037587701533,0.0003170277789406781,5.746842091241584e-05,0.0002595593580282623
2010,VA,2488,0,310,0,171,43,1667,0,297,8019821,8001024,0.9976561821018199,0.00031096019709477186,6.011730498496193e-05,0.00025084289210980994
2011,VA,2362,0,305,0,163,45,1517,0,332,8129949,8096604,0.9958984982562621,0.00029172724762134843,5.7802011806431436e-05,0.00023392523581491697
2012,VA,2583,0,447,0,167,36,1645,0,288,8198021,8185867,0.9985174470765567,0.0003155438513721271,7.500732665214326e-05,0.00024053652471998384
2013,VA,2894,0,589,0,151,60,1819,0,275,8268226,8260405,0.9990540897164639,0.0003503460181431782,8.95839852888569e-05,0.0002607620328543213
2014,VA,3006,0,642,0,138,43,1889,0,294,8340068,8325670,0.9982736351789937,0.0003610520234407561,9.368615378702254e-05,0.00026736586965373356
2015,VA,3010,0,536,0,155,41,1954,0,324,8391836,8380866,0.9986927771229085,0.00035915142898120553,8.244971343056911e-05,0.0002767017155506364
2016,VA,3333,0,645,0,184,33,2096,0,375,8426063,8411424,0.9982626524392234,0.00039624681861240144,9.855643943284751e-05,0.0002976903791795539
2017,VA,3322,0,660,0,171,32,2078,0,381,8490110,8467744,0.9973656407278586,0.00039231228530290947,9.813711893037862e-05,0.00029417516637253086
2018,VA,3650,0,631,0,177,35,2416,0,391,8527392,8515274,0.998578932456723,0.0004286415211066608,9.488831480936491e-05,0.00033375320629729587
2019,VA,4032,0,583,0,227,32,2718,0,472,8561864,8534283,0.9967786220383785,0.00047244742176935075,9.491131240902135e-05,0.00037753610936032937
2020,VA,4213,0,628,0,166,29,2966,0,424,8633450,8590814,0.9950615339174953,0.000490407544616843,9.242430344784557e-05,0.0003979832411689975
2000,VT,162,0,15,0,2,13,117,0,15,643372,515166,0.8007280391437613,0.00031446174631089783,3.2999072143736196e-05,0.00028146267416716167
2001,VT,175,0,15,0,11,9,128,0,12,626916,562536,0.8973068162241832,0.00031109120127422954,4.621926418931411e-05,0.00026487193708491543
2002,VT,186,0,11,0,14,21,127,0,13,643491,565746,0.879182459428337,0.0003287694477733824,4.4189441905024515e-05,0.00028458000586835787
2003,VT,249,0,23,0,22,16,170,0,18,634356,569065,0.8970751439254929,0.00043755985695834393,7.907708258283325e-05,0.0003584827743755107
2004,VT,234,0,24,0,11,19,158,0,22,632382,602735,0.9531185264602724,0.00038823031680589314,5.806863712908658e-05,0.0003301616796768066
2005,VT,240,0,24,0,15,9,167,0,25,644422,608184,0.9437666622182359,0.00039461741841284874,6.412533049208792e-05,0.00033049208792076083
2006,VT,257,0,24,0,14,15,185,0,19,642446,623908,0.9711446565158783,0.0004119197061105163,6.0906415689492684e-05,0.0003510132904210236
2007,VT,272,0,34,0,16,11,191,0,20,636935,614721,0.9651235997393769,0.00044247715630342874,8.133771255577733e-05,0.0003611394437476514
2008,VT,296,0,30,0,7,11,228,0,20,643859,617193,0.9585840999349237,0.00047959066288826995,5.994883286103374e-05,0.00041964183002723624
2009,VT,286,0,36,0,14,13,202,0,21,643464,617666,0.9599076249797969,0.0004630334193560921,8.09498984888273e-05,0.0003820835208672648
2010,VT,247,0,17,0,14,10,189,0,17,649837,617320,0.9499612979870337,0.00040011663318862176,5.021706732326832e-05,0.00034989956586535347
2011,VT,297,0,30,0,7,9,227,0,24,662475,623400,0.9410166421374392,0.0004764196342637151,5.935194096888034e-05,0.00041706769329483476
2012,VT,274,0,58,0,18,8,173,0,17,646251,622979,0.9639892240012008,0.00043982220909533065,0.00012199448135490923,0.00031782772774042144
2013,VT,271,0,77,0,10,9,165,0,10,664028,626376,0.9432975717891414,0.00043264748330076506,0.00013889421050614965,0.00029375327279461535
2014,VT,246,0,75,0,6,10,137,0,18,672570,626306,0.9312131079292861,0.00039277924848237124,0.00012932975254907345,0.00026344949593329776
2015,VT,172,0,43,0,9,1,102,0,17,641500,626042,0.9759033515198753,0.0002747419502205922,8.306151983413254e-05,0.0001916804303864597
2016,VT,279,0,25,0,8,4,216,0,26,727124,625702,0.8605162255681287,0.00044589916605668515,5.274076157659717e-05,0.00039315840448008794
2017,VT,342,0,33,0,14,5,261,0,29,636517,623657,0.9797962976636916,0.0005483783554101052,7.536193773179808e-05,0.00047301641767830713
2018,VT,428,0,45,0,34,3,301,0,45,648985,630980,0.9722566777352327,0.0006783099305841707,0.0001252020666265175,0.0005531078639576532
2019,VT,426,0,52,0,10,3,325,0,36,652209,628664,0.9638996088677095,0.000677627476680707,9.862183932911698e-05,0.0005790056373515901
2020,VT,387,0,41,0,14,4,291,0,37,649504,623347,0.9597277306991181,0.0006208420029293475,8.823335958944216e-05,0.0005326086433399054
